query,precision@k,recall@k,mrr
What happens if an AI model is trained on poor-quality data and how can this be mitigated?,0.2,0.5,0.5
Explain how tokenization enables AI systems to process language and why it is necessary.,0.2,1.0,1.0
Why does the document suggest that AI hallucinations are a major limitation of current models?,0.2,1.0,0.5
How does data governance improve both performance and efficiency of AI systems?,0.2,0.5,1.0
What is the relationship between semiconductor advancements and AI capabilities?,0.2,1.0,1.0
Why is Artificial General Intelligence (AGI) considered a goal rather than a current reality?,0.4,1.0,1.0
Explain how AI development creates both economic opportunities and risks.,0.4,0.6666666666666666,1.0
How could synthetic data both help and potentially limit AI development?,0.2,1.0,1.0
Why might increasing numbers of AI models lead to similar outputs across systems?,0.2,1.0,1.0
Explain the potential geopolitical risks associated with AI chip production.,0.2,1.0,0.5
How is AI impacting entry-level versus senior-level jobs differently?,0.2,1.0,0.5
Why does the document suggest that AI-generated content can reduce productivity?,0.2,0.5,1.0
What role do humans play in ensuring the reliability of AI outputs?,0.0,0.0,0.0
How are educational institutions adapting to the rise of AI tools?,0.0,0.0,0.0
Explain why AI models require large-scale computational power.,0.0,0.0,0.0
Why is monetization a challenge for AI companies despite high user numbers?,0.4,0.6666666666666666,1.0
What risks are associated with rapid deployment of AI systems without regulation?,0.0,0.0,0.0
How does AI contribute to new forms of cyber threats?,0.0,0.0,0.0
What is the impact of AI slop on communication and decision-making?,0.0,0.0,0.0
What specific algorithm or model architecture is described as the core of modern AI systems?,0.0,0.0,0.0
